txn_id,date,iso_date,narration,ref_no,value_date,type,category,mode,withdrawal,deposit,balance,status
TXN00001,01/04/2024,2024-04-01,UPI-IRCTC UPI-IRCTC@SBI-SBIN0IRCTC1-933251567391-UPI,0000933251567391,01/04/2024,CR,Travel,UPI,,2173.45,54173.45,SUCCESS
TXN00002,02/04/2024,2024-04-02,NEFT-SALARY CREDIT-EMPLOYER PAYROLL-336890980656,0000336890980656,02/04/2024,CR,Salary,NEFT,,53743.28,107916.73,SUCCESS
TXN00003,03/04/2024,2024-04-03,UPI-SWIGGY INDIA-SWIGGYSTORES@ICICI-ICIC0DC0099-213114812281-UPI,0000213114812281,03/04/2024,DR,Food,UPI,1531.87,,106384.86,SUCCESS
TXN00004,04/04/2024,2024-04-04,UPI-MEDPLUS PHARMACY-MEDPLUS@ICICI-ICIC0MEDPLS-150711229823-UPI,0000150711229823,04/04/2024,DR,Rent,UPI,17643.0,,88741.86,SUCCESS
TXN00005,05/04/2024,2024-04-05,UPI-SWIGGY INDIA-SWIGGYSTORES@ICICI-ICIC0DC0099-516278088865-UPI,0000516278088865,05/04/2024,DR,Food,UPI,2355.56,,86386.3,SUCCESS
TXN00006,06/04/2024,2024-04-06,UPI-PETROL PUMP HP-HPCL.PETROL@AXIS-UTIB0HPCUPI-312933106111-UPI,0000312933106111,06/04/2024,DR,Fuel,UPI,340.79,,86045.51,SUCCESS
TXN00007,07/04/2024,2024-04-07,UPI-AMAZON PAY INDIA-AMAZONPAY@APL-AXIS0000002-357076632102-UPI,0000357076632102,07/04/2024,DR,Shopping,UPI,243.1,,85802.41,SUCCESS
TXN00008,08/04/2024,2024-04-08,UPI-BHARAT PETROLEUM-BPCLPETRO.98765@YBL-YESB0BPCLUP-488136971784-UPI,0000488136971784,08/04/2024,CR,Fuel,UPI,,4270.56,90072.97,SUCCESS
TXN00009,09/04/2024,2024-04-09,UPI-SWIGGY INDIA-SWIGGYSTORES@ICICI-ICIC0DC0099-811605418712-UPI,0000811605418712,09/04/2024,DR,Food,UPI,110.44,,89962.53,SUCCESS
TXN00010,10/04/2024,2024-04-10,UPI-NETFLIX ENTERTAIN-NETFLIX.IND@ICICI-ICIC0NFLX01-518597220210-UPI,0000518597220210,10/04/2024,CR,Entertainment,UPI,,3912.0,93874.53,SUCCESS
